ID	Time	Pop	Capture name
Ind. 482	80	P	Cap:t=80
Ind. 488	80	P	Cap:t=80
Ind. 490	80	P	Cap:t=80
Ind. 498	80	P	Cap:t=80
Ind. 504	80	P	Cap:t=80
Ind. 506	80	P	Cap:t=80
Ind. 508	80	P	Cap:t=80
Ind. 513	80	P	Cap:t=80
Ind. 515	80	P	Cap:t=80
Ind. 517	80	P	Cap:t=80
Ind. 526	80	P	Cap:t=80
Ind. 527	80	P	Cap:t=80
Ind. 529	80	P	Cap:t=80
Ind. 532	80	P	Cap:t=80
Ind. 533	80	P	Cap:t=80
Ind. 536	80	P	Cap:t=80
Ind. 544	80	P	Cap:t=80
Ind. 545	80	P	Cap:t=80
Ind. 547	80	P	Cap:t=80
Ind. 549	80	P	Cap:t=80
Ind. 384	90	P	Cap:t=90
Ind. 516	90	P	Cap:t=90
Ind. 520	90	P	Cap:t=90
Ind. 523	90	P	Cap:t=90
Ind. 525	90	P	Cap:t=90
Ind. 536	90	P	Cap:t=90
Ind. 538	90	P	Cap:t=90
Ind. 539	90	P	Cap:t=90
Ind. 543	90	P	Cap:t=90
Ind. 549	90	P	Cap:t=90
Ind. 560	90	P	Cap:t=90
Ind. 571	90	P	Cap:t=90
Ind. 582	90	P	Cap:t=90
Ind. 588	90	P	Cap:t=90
Ind. 593	90	P	Cap:t=90
Ind. 594	90	P	Cap:t=90
Ind. 598	90	P	Cap:t=90
Ind. 599	90	P	Cap:t=90
Ind. 600	90	P	Cap:t=90
Ind. 603	90	P	Cap:t=90
Ind. 607	90	P	Cap:t=90
Ind. 611	90	P	Cap:t=90
Ind. 617	90	P	Cap:t=90
Ind. 302	100	P	Cap:t=100
Ind. 377	100	P	Cap:t=100
Ind. 425	100	P	Cap:t=100
Ind. 558	100	P	Cap:t=100
Ind. 567	100	P	Cap:t=100
Ind. 573	100	P	Cap:t=100
Ind. 575	100	P	Cap:t=100
Ind. 587	100	P	Cap:t=100
Ind. 594	100	P	Cap:t=100
Ind. 597	100	P	Cap:t=100
Ind. 602	100	P	Cap:t=100
Ind. 608	100	P	Cap:t=100
Ind. 609	100	P	Cap:t=100
Ind. 624	100	P	Cap:t=100
Ind. 625	100	P	Cap:t=100
Ind. 636	100	P	Cap:t=100
Ind. 640	100	P	Cap:t=100
Ind. 648	100	P	Cap:t=100
Ind. 658	100	P	Cap:t=100
Ind. 663	100	P	Cap:t=100
Ind. 664	100	P	Cap:t=100
Ind. 669	100	P	Cap:t=100
Ind. 671	100	P	Cap:t=100
Ind. 676	100	P	Cap:t=100
Ind. 677	100	P	Cap:t=100
Ind. 679	100	P	Cap:t=100
Ind. 680	100	P	Cap:t=100
Ind. 686	100	P	Cap:t=100
Ind. 687	100	P	Cap:t=100
Ind. 689	100	P	Cap:t=100
Ind. 691	100	P	Cap:t=100
Ind. 694	100	P	Cap:t=100
