ID	Time	Loc
Ind. 47	50	C4-9
Ind. 48	50	C4-5
Ind. 49	50	C8-2
Ind. 50	50	C6-10
Ind. 51	50	C8-8
Ind. 52	50	C4-7
Ind. 53	50	C8-1
Ind. 54	50	C5-8
Ind. 55	50	C4-7
Ind. 56	50	C5-6
Ind. 57	50	C10-7
Ind. 58	50	C7-5
Ind. 59	50	C6-7
Ind. 60	50	C10-1
Ind. 61	50	C4-7
Ind. 62	50	C5-2
Ind. 63	50	C8-9
Ind. 64	50	C5-5
Ind. 65	50	C6-6
Ind. 66	50	C4-6
Ind. 67	50	C4-5
Ind. 68	50	C4-4
Ind. 69	50	C1-3
Ind. 70	50	C5-4
Ind. 71	50	C7-2
Ind. 72	50	C3-3
Ind. 73	50	C7-7
Ind. 74	50	C4-3
Ind. 75	50	C5-6
Ind. 76	50	C8-9
Ind. 77	50	C5-1
Ind. 78	50	C10-6
Ind. 79	50	C10-4
Ind. 80	50	C6-3
Ind. 81	50	C4-6
Ind. 82	50	C3-3
Ind. 83	50	C4-7
Ind. 84	50	C5-5
Ind. 85	50	C5-9
Ind. 86	50	C1-8
Ind. 87	50	C7-6
Ind. 88	50	C3-4
Ind. 89	50	C9-6
Ind. 90	50	C8-7
Ind. 91	50	C6-7
Ind. 92	50	C5-5
Ind. 93	50	C4-3
Ind. 94	50	C4-4
Ind. 95	50	C6-2
Ind. 96	50	C6-6
Ind. 97	50	C7-5
Ind. 98	50	C5-5
Ind. 99	50	C7-6
Ind. 100	50	C7-4
Ind. 1	100	C6-9
Ind. 2	100	C8-4
Ind. 3	100	C6-4
Ind. 4	100	C8-9
Ind. 5	100	C9-2
Ind. 6	100	C5-6
Ind. 7	100	C8-3
Ind. 8	100	C4-10
Ind. 9	100	C5-10
Ind. 10	100	C1-6
Ind. 11	100	C2-8
Ind. 12	100	C4-9
Ind. 13	100	C6-4
Ind. 14	100	C9-4
Ind. 15	100	C5-8
Ind. 16	100	C8-3
Ind. 17	100	C3-9
Ind. 18	100	C6-5
Ind. 19	100	C3-4
Ind. 20	100	C7-5
Ind. 21	100	C8-6
Ind. 22	100	C5-10
Ind. 23	100	C0-2
Ind. 24	100	C10-8
Ind. 25	100	C6-7
Ind. 26	100	C6-9
Ind. 27	100	C2-6
Ind. 28	100	C1-10
Ind. 29	100	C4-6
Ind. 30	100	C4-4
Ind. 31	100	C5-6
Ind. 32	100	C0-8
Ind. 33	100	C6-5
Ind. 34	100	C7-2
Ind. 35	100	C3-5
Ind. 36	100	C7-4
Ind. 37	100	C2-8
Ind. 38	100	C5-4
Ind. 39	100	C5-5
Ind. 40	100	C7-9
Ind. 41	100	C8-4
Ind. 42	100	C6-4
Ind. 43	100	C7-4
Ind. 44	100	C8-2
Ind. 45	100	C10-2
Ind. 46	100	C7-5
Ind. 47	100	C7-10
Ind. 48	100	C8-2
Ind. 49	100	C7-3
Ind. 50	100	C7-10
Ind. 51	100	C8-6
Ind. 52	100	C2-6
Ind. 53	100	C9-0
Ind. 54	100	C7-10
Ind. 55	100	C4-6
Ind. 56	100	C4-5
Ind. 57	100	C8-1
Ind. 58	100	C7-3
Ind. 59	100	C9-8
Ind. 60	100	C7-0
Ind. 61	100	C8-8
Ind. 62	100	C5-2
Ind. 63	100	C10-7
Ind. 64	100	C6-1
Ind. 65	100	C4-6
Ind. 66	100	C2-8
Ind. 67	100	C7-4
Ind. 68	100	C6-1
Ind. 69	100	C2-3
Ind. 70	100	C7-4
Ind. 71	100	C5-2
Ind. 72	100	C2-2
Ind. 73	100	C7-9
Ind. 74	100	C4-1
Ind. 75	100	C5-6
Ind. 76	100	C8-9
Ind. 77	100	C7-1
Ind. 78	100	C8-4
Ind. 79	100	C7-3
Ind. 80	100	C4-3
Ind. 81	100	C3-8
Ind. 82	100	C1-1
Ind. 83	100	C4-6
Ind. 84	100	C5-7
Ind. 85	100	C6-7
Ind. 86	100	C2-6
Ind. 87	100	C8-6
Ind. 88	100	C2-4
Ind. 89	100	C9-7
Ind. 90	100	C8-7
Ind. 91	100	C6-8
Ind. 92	100	C7-0
Ind. 93	100	C3-4
Ind. 94	100	C2-5
Ind. 95	100	C5-3
Ind. 96	100	C10-7
Ind. 97	100	C7-6
Ind. 98	100	C7-3
Ind. 99	100	C10-7
Ind. 100	100	C7-4
