"ID","t","Age"
"Sim-Animal-Ind-18",80,"!"
"Sim-Animal-Ind-18",90,"!"
"Sim-Animal-Ind-18",100,"!"
"Sim-Animal-Ind-19",10,"!"
"Sim-Animal-Ind-19",20,"A1"
"Sim-Animal-Ind-19",30,"A10+"
"Sim-Animal-Ind-19",40,"A10+"
"Sim-Animal-Ind-19",50,"A10+"
"Sim-Animal-Ind-19",60,"A10+"
"Sim-Animal-Ind-19",70,"!"
"Sim-Animal-Ind-19",80,"!"
"Sim-Animal-Ind-19",90,"!"
"Sim-Animal-Ind-19",100,"!"
"Sim-Animal-Ind-20",10,"!"
"Sim-Animal-Ind-20",20,"A1"
"Sim-Animal-Ind-20",30,"A10+"
"Sim-Animal-Ind-20",40,"A10+"
"Sim-Animal-Ind-20",50,"A10+"
"Sim-Animal-Ind-20",60,"A10+"
"Sim-Animal-Ind-20",70,"!"
"Sim-Animal-Ind-20",80,"!"
"Sim-Animal-Ind-20",90,"!"
"Sim-Animal-Ind-20",100,"!"
"Sim-Animal-Ind-21",10,"!"
"Sim-Animal-Ind-21",20,"A1"
"Sim-Animal-Ind-21",30,"A10+"
"Sim-Animal-Ind-21",40,"A10+"
"Sim-Animal-Ind-21",50,"A10+"
"Sim-Animal-Ind-21",60,"A10+"
"Sim-Animal-Ind-21",70,"A10+"
"Sim-Animal-Ind-21",80,"!"
"Sim-Animal-Ind-21",90,"!"
"Sim-Animal-Ind-21",100,"!"
"Sim-Animal-Ind-22",10,"!"
"Sim-Animal-Ind-22",20,"A1"
"Sim-Animal-Ind-22",30,"!"
"Sim-Animal-Ind-22",40,"!"
"Sim-Animal-Ind-22",50,"!"
"Sim-Animal-Ind-22",60,"!"
"Sim-Animal-Ind-22",70,"!"
"Sim-Animal-Ind-22",80,"!"
"Sim-Animal-Ind-22",90,"!"
"Sim-Animal-Ind-22",100,"!"
"Sim-Animal-Ind-23",10,"!"
"Sim-Animal-Ind-23",20,"!"
"Sim-Animal-Ind-23",30,"A4"
"Sim-Animal-Ind-23",40,"A10+"
"Sim-Animal-Ind-23",50,"A10+"
"Sim-Animal-Ind-23",60,"!"
"Sim-Animal-Ind-23",70,"!"
"Sim-Animal-Ind-23",80,"!"
"Sim-Animal-Ind-23",90,"!"
"Sim-Animal-Ind-23",100,"!"
"Sim-Animal-Ind-24",10,"!"
"Sim-Animal-Ind-24",20,"!"
"Sim-Animal-Ind-24",30,"A4"
"Sim-Animal-Ind-24",40,"A10+"
"Sim-Animal-Ind-24",50,"A10+"
"Sim-Animal-Ind-24",60,"A10+"
"Sim-Animal-Ind-24",70,"A10+"
"Sim-Animal-Ind-24",80,"!"
"Sim-Animal-Ind-24",90,"!"
"Sim-Animal-Ind-24",100,"!"
"Sim-Animal-Ind-25",10,"!"
"Sim-Animal-Ind-25",20,"!"
"Sim-Animal-Ind-25",30,"A4"
"Sim-Animal-Ind-25",40,"A10+"
"Sim-Animal-Ind-25",50,"!"
"Sim-Animal-Ind-25",60,"!"
"Sim-Animal-Ind-25",70,"!"
"Sim-Animal-Ind-25",80,"!"
"Sim-Animal-Ind-25",90,"!"
