ID,t,DS
Ind. 38,40,Sa
Ind. 38,50,Sa
Ind. 38,60,Sa
Ind. 38,70,Sa
Ind. 38,80,Sa
Ind. 38,90,Sa
Ind. 38,100,Sa
Ind. 39,10,Sa
Ind. 39,20,Sa
Ind. 39,30,Sa
Ind. 39,40,Sa
Ind. 39,50,Sa
Ind. 39,60,I
Ind. 39,70,I
Ind. 39,80,R
Ind. 39,90,R
Ind. 39,100,R
Ind. 40,10,Sa
Ind. 40,20,Sa
Ind. 40,30,Sa
Ind. 40,40,Sa
Ind. 40,50,I
Ind. 40,60,R
Ind. 40,70,R
Ind. 40,80,R
Ind. 40,90,R
Ind. 40,100,R
Ind. 41,10,Sa
Ind. 41,20,Sa
Ind. 41,30,Sa
Ind. 41,40,Sa
Ind. 41,50,Sa
Ind. 41,60,Sa
Ind. 41,70,Sa
Ind. 41,80,Sa
Ind. 41,90,Sa
Ind. 41,100,Sa
Ind. 42,10,Sa
Ind. 42,20,Sa
Ind. 42,30,Sa
Ind. 42,40,Sa
Ind. 42,50,I
Ind. 42,60,I
Ind. 42,70,I
Ind. 42,80,R
Ind. 42,90,R
Ind. 42,100,R
Ind. 43,10,Sa
Ind. 43,20,Sa
Ind. 43,30,Sa
Ind. 43,40,Sa
Ind. 43,50,Sa
Ind. 43,60,Sa
Ind. 43,70,Sa
Ind. 43,80,Sa
Ind. 43,90,Sa
Ind. 43,100,Sa
Ind. 44,10,Sa
Ind. 44,20,Sa
Ind. 44,30,Sa
Ind. 44,40,Sa
Ind. 44,50,Sa
Ind. 44,60,Sa
Ind. 44,70,I
Ind. 44,80,I
Ind. 44,90,R
Ind. 44,100,R
Ind. 45,10,Sa
Ind. 45,20,Sa
Ind. 45,30,Sa
Ind. 45,40,Sa
Ind. 45,50,Sa
Ind. 45,60,Sa
Ind. 45,70,Sa
Ind. 45,80,Sa
Ind. 45,90,Sa
Ind. 45,100,Sa
Ind. 46,10,Sa
Ind. 46,20,Sa
Ind. 46,30,I
Ind. 46,40,I
Ind. 46,50,I
Ind. 46,60,I
Ind. 46,70,I
Ind. 46,80,I
Ind. 46,90,R
Ind. 46,100,R
Ind. 47,10,Sa
Ind. 47,20,Sa
Ind. 47,30,Sa
