"ID","t","DS"
"Ind. 27",40,"Sa"
"Ind. 27",50,"Sa"
"Ind. 27",60,"Sa"
"Ind. 27",70,"R"
"Ind. 27",80,"R"
"Ind. 27",90,"R"
"Ind. 27",100,"R"
"Ind. 28",10,"Sa"
"Ind. 28",20,"Sa"
"Ind. 28",30,"Sa"
"Ind. 28",40,"Sa"
"Ind. 28",50,"Sa"
"Ind. 28",60,"Sa"
"Ind. 28",70,"Ia"
"Ind. 28",80,"Ia"
"Ind. 28",90,"R"
"Ind. 28",100,"R"
"Ind. 29",10,"Sa"
"Ind. 29",20,"Sa"
"Ind. 29",30,"Sa"
"Ind. 29",40,"Sa"
"Ind. 29",50,"Sa"
"Ind. 29",60,"Ia"
"Ind. 29",70,"Ia"
"Ind. 29",80,"R"
"Ind. 29",90,"R"
"Ind. 29",100,"R"
"Ind. 30",10,"Sa"
"Ind. 30",20,"Sa"
"Ind. 30",30,"Sa"
"Ind. 30",40,"R"
"Ind. 30",50,"R"
"Ind. 30",60,"R"
"Ind. 30",70,"R"
"Ind. 30",80,"R"
"Ind. 30",90,"R"
"Ind. 30",100,"R"
"Ind. 31",10,"Sa"
"Ind. 31",20,"Sa"
"Ind. 31",30,"Sa"
"Ind. 31",40,"Sa"
"Ind. 31",50,"Ia"
"Ind. 31",60,"Ia"
"Ind. 31",70,"R"
"Ind. 31",80,"R"
"Ind. 31",90,"R"
"Ind. 31",100,"R"
"Ind. 32",10,"Sa"
"Ind. 32",20,"Sa"
"Ind. 32",30,"Sa"
"Ind. 32",40,"Sa"
"Ind. 32",50,"Ia"
"Ind. 32",60,"Ia"
"Ind. 32",70,"R"
"Ind. 32",80,"R"
"Ind. 32",90,"R"
"Ind. 32",100,"R"
"Ind. 33",10,"Sa"
"Ind. 33",20,"Sa"
"Ind. 33",30,"Sa"
"Ind. 33",40,"Sa"
"Ind. 33",50,"Sa"
"Ind. 33",60,"Sa"
"Ind. 33",70,"Ia"
"Ind. 33",80,"Ia"
"Ind. 33",90,"Ia"
"Ind. 33",100,"Ia"
"Ind. 34",10,"Sa"
"Ind. 34",20,"Sa"
"Ind. 34",30,"Sa"
"Ind. 34",40,"Sa"
"Ind. 34",50,"Ia"
"Ind. 34",60,"Ia"
"Ind. 34",70,"Ia"
"Ind. 34",80,"Ia"
"Ind. 34",90,"R"
"Ind. 34",100,"R"
"Ind. 35",10,"Sa"
"Ind. 35",20,"Sa"
"Ind. 35",30,"Sa"
"Ind. 35",40,"Sa"
"Ind. 35",50,"Sa"
"Ind. 35",60,"Sa"
"Ind. 35",70,"Sa"
"Ind. 35",80,"Sa"
"Ind. 35",90,"Sa"
"Ind. 35",100,"Ia"
"Ind. 36",10,"Sa"
"Ind. 36",20,"Sa"
"Ind. 36",30,"Sa"
"Ind. 36",40,"Sa"
"Ind. 36",50,"Sa"
"Ind. 36",60,"Sa"
"Ind. 36",70,"Sa"
"Ind. 36",80,"R"
"Ind. 36",90,"R"
"Ind. 36",100,"R"
"Ind. 37",10,"Sa"
"Ind. 37",20,"Sa"
"Ind. 37",30,"Sa"
"Ind. 37",40,"Sa"
"Ind. 37",50,"Sa"
"Ind. 37",60,"R"
"Ind. 37",70,"R"
"Ind. 37",80,"R"
"Ind. 37",90,"R"
"Ind. 37",100,"R"
"Ind. 38",10,"Sa"
"Ind. 38",20,"Sa"
"Ind. 38",30,"Sa"
"Ind. 38",40,"Sa"
"Ind. 38",50,"Sa"
"Ind. 38",60,"Ia"
"Ind. 38",70,"Ia"
"Ind. 38",80,"Ia"
"Ind. 38",90,"R"
"Ind. 38",100,"R"
"Ind. 39",10,"Sa"
"Ind. 39",20,"Sa"
"Ind. 39",30,"Sa"
"Ind. 39",40,"Sa"
"Ind. 39",50,"Sa"
"Ind. 39",60,"Ia"
"Ind. 39",70,"Ia"
"Ind. 39",80,"Ia"
"Ind. 39",90,"Ia"
"Ind. 39",100,"Ia"
"Ind. 40",10,"Sa"
"Ind. 40",20,"Sa"
"Ind. 40",30,"Sa"
"Ind. 40",40,"Sa"
"Ind. 40",50,"Ia"
"Ind. 40",60,"Ia"
"Ind. 40",70,"Ia"
"Ind. 40",80,"Ia"
"Ind. 40",90,"Ia"
"Ind. 40",100,"Ia"
"Ind. 41",10,"Sa"
"Ind. 41",20,"Sa"
"Ind. 41",30,"Sa"
"Ind. 41",40,"Sa"
"Ind. 41",50,"Sa"
"Ind. 41",60,"Sa"
"Ind. 41",70,"Sa"
"Ind. 41",80,"Sa"
"Ind. 41",90,"Sa"
"Ind. 41",100,"Sa"
"Ind. 42",10,"Sa"
"Ind. 42",20,"Sa"
"Ind. 42",30,"Sa"
"Ind. 42",40,"Sa"
"Ind. 42",50,"Sa"
"Ind. 42",60,"Ia"
"Ind. 42",70,"Ia"
"Ind. 42",80,"Ia"
"Ind. 42",90,"R"
"Ind. 42",100,"R"
"Ind. 43",10,"Sa"
"Ind. 43",20,"Sa"
"Ind. 43",30,"Sa"
"Ind. 43",40,"Sa"
"Ind. 43",50,"Sa"
"Ind. 43",60,"Sa"
"Ind. 43",70,"Sa"
"Ind. 43",80,"Sa"
"Ind. 43",90,"Ia"
"Ind. 43",100,"Ia"
"Ind. 44",10,"Sa"
"Ind. 44",20,"Sa"
"Ind. 44",30,"Sa"
"Ind. 44",40,"Ia"
"Ind. 44",50,"Ia"
"Ind. 44",60,"Ia"
"Ind. 44",70,"R"
"Ind. 44",80,"R"
"Ind. 44",90,"R"
"Ind. 44",100,"R"
"Ind. 45",10,"Sa"
"Ind. 45",20,"Sa"
"Ind. 45",30,"Sa"
"Ind. 45",40,"Sa"
"Ind. 45",50,"Sa"
"Ind. 45",60,"Ia"
"Ind. 45",70,"Ia"
"Ind. 45",80,"R"
"Ind. 45",90,"R"
"Ind. 45",100,"R"
"Ind. 46",10,"Sa"
"Ind. 46",20,"Sa"
"Ind. 46",30,"Sa"
"Ind. 46",40,"Sa"
"Ind. 46",50,"Sa"
"Ind. 46",60,"Sa"
"Ind. 46",70,"Ia"
"Ind. 46",80,"R"
"Ind. 46",90,"R"
"Ind. 46",100,"R"
"Ind. 47",10,"Sa"
"Ind. 47",20,"Sa"
"Ind. 47",30,"Sa"
"Ind. 47",40,"Sa"
"Ind. 47",50,"Sa"
"Ind. 47",60,"Ia"
"Ind. 47",70,"Ia"
"Ind. 47",80,"R"
"Ind. 47",90,"R"
"Ind. 47",100,"R"
"Ind. 48",10,"Sa"
"Ind. 48",20,"Sa"
"Ind. 48",30,"Sa"
"Ind. 48",40,"Ia"
"Ind. 48",50,"Ia"
"Ind. 48",60,"R"
"Ind. 48",70,"R"
"Ind. 48",80,"R"
"Ind. 48",90,"R"
"Ind. 48",100,"R"
"Ind. 49",10,"Sa"
"Ind. 49",20,"Sa"
"Ind. 49",30,"Sa"
"Ind. 49",40,"Sa"
"Ind. 49",50,"Sa"
"Ind. 49",60,"Ia"
"Ind. 49",70,"Ia"
"Ind. 49",80,"Ia"
"Ind. 49",90,"R"
"Ind. 49",100,"R"
"Ind. 50",10,"Sa"
"Ind. 50",20,"Sa"
"Ind. 50",30,"Sa"
"Ind. 50",40,"Sa"
"Ind. 50",50,"Sa"
"Ind. 50",60,"Sa"
"Ind. 50",70,"Sa"
"Ind. 50",80,"Sa"
"Ind. 50",90,"Ia"
"Ind. 50",100,"Ia"
"Ind. 51",10,"Sa"
"Ind. 51",20,"Sa"
"Ind. 51",30,"Sa"
"Ind. 51",40,"Sa"
"Ind. 51",50,"Sa"
"Ind. 51",60,"R"
"Ind. 51",70,"R"
"Ind. 51",80,"R"
"Ind. 51",90,"R"
"Ind. 51",100,"R"
"Ind. 52",10,"Sa"
"Ind. 52",20,"Sa"
"Ind. 52",30,"Sa"
"Ind. 52",40,"Sa"
"Ind. 52",50,"Sa"
"Ind. 52",60,"Ia"
"Ind. 52",70,"R"
"Ind. 52",80,"R"
"Ind. 52",90,"R"
"Ind. 52",100,"R"
"Ind. 53",10,"Sa"
"Ind. 53",20,"Sa"
"Ind. 53",30,"Sa"
"Ind. 53",40,"Sa"
"Ind. 53",50,"Sa"
"Ind. 53",60,"Ia"
"Ind. 53",70,"Ia"
"Ind. 53",80,"Ia"
"Ind. 53",90,"R"
"Ind. 53",100,"R"
"Ind. 54",10,"Sa"
"Ind. 54",20,"Sa"
"Ind. 54",30,"Sa"
"Ind. 54",40,"Sa"
"Ind. 54",50,"Sa"
"Ind. 54",60,"Ia"
"Ind. 54",70,"R"
"Ind. 54",80,"R"
"Ind. 54",90,"R"
"Ind. 54",100,"R"
"Ind. 55",10,"Sa"
"Ind. 55",20,"Sa"
"Ind. 55",30,"Sa"
"Ind. 55",40,"R"
"Ind. 55",50,"R"
"Ind. 55",60,"R"
"Ind. 55",70,"R"
"Ind. 55",80,"R"
"Ind. 55",90,"R"
"Ind. 55",100,"R"
"Ind. 56",10,"Sa"
"Ind. 56",20,"Sa"
"Ind. 56",30,"Sa"
"Ind. 56",40,"Ia"
"Ind. 56",50,"R"
"Ind. 56",60,"R"
"Ind. 56",70,"R"
"Ind. 56",80,"R"
"Ind. 56",90,"R"
"Ind. 56",100,"R"
"Ind. 57",10,"Sa"
"Ind. 57",20,"Sa"
"Ind. 57",30,"R"
"Ind. 57",40,"R"
"Ind. 57",50,"R"
"Ind. 57",60,"R"
"Ind. 57",70,"R"
"Ind. 57",80,"R"
"Ind. 57",90,"R"
"Ind. 57",100,"R"
"Ind. 58",10,"Sa"
"Ind. 58",20,"Sa"
"Ind. 58",30,"Sa"
"Ind. 58",40,"Sa"
"Ind. 58",50,"Sa"
"Ind. 58",60,"Ia"
"Ind. 58",70,"Ia"
"Ind. 58",80,"R"
"Ind. 58",90,"R"
"Ind. 58",100,"R"
"Ind. 59",10,"Sa"
"Ind. 59",20,"Sa"
"Ind. 59",30,"Sa"
"Ind. 59",40,"Sa"
"Ind. 59",50,"Sa"
"Ind. 59",60,"Sa"
"Ind. 59",70,"Sa"
"Ind. 59",80,"Sa"
"Ind. 59",90,"Ia"
"Ind. 59",100,"R"
"Ind. 60",10,"Sa"
"Ind. 60",20,"Sa"
"Ind. 60",30,"Sa"
"Ind. 60",40,"Sa"
"Ind. 60",50,"Sa"
"Ind. 60",60,"Sa"
"Ind. 60",70,"Sa"
"Ind. 60",80,"Ia"
