"t","DS","Sex","Population"
10,"R","F",0
20,"R","F",2
30,"R","F",13
40,"R","F",36
50,"R","F",42
60,"R","F",69
70,"R","F",78
80,"R","F",94
90,"R","F",126
100,"R","F",141
110,"R","F",168
120,"R","F",180
130,"R","F",249
140,"R","F",262
150,"R","F",308
160,"R","F",362
170,"R","F",366
180,"R","F",518
190,"R","F",588
200,"R","F",620
210,"R","F",731
220,"R","F",810
230,"R","F",927
240,"R","F",1058
250,"R","F",1175
260,"R","F",1212
270,"R","F",1340
280,"R","F",1461
290,"R","F",1581
300,"R","F",1688
310,"R","F",1733
320,"R","F",1878
330,"R","F",1918
340,"R","F",2068
350,"R","F",2104
360,"R","F",2241
370,"R","F",2236
380,"R","F",2369
390,"R","F",2434
400,"R","F",2446
410,"R","F",2572
420,"R","F",2602
430,"R","F",2599
440,"R","F",2664
450,"R","F",2669
460,"R","F",2789
470,"R","F",2747
480,"R","F",2823
490,"R","F",2890
500,"R","F",2872
510,"R","F",2863
520,"R","F",2854
530,"R","F",2918
540,"R","F",2907
550,"R","F",3078
560,"R","F",2981
570,"R","F",3081
580,"R","F",3075
590,"R","F",3143
600,"R","F",3294
610,"R","F",3256
620,"R","F",3351
630,"R","F",3445
640,"R","F",3436
650,"R","F",3536
660,"R","F",3508
670,"R","F",3612
680,"R","F",3548
690,"R","F",3657
700,"R","F",3714
710,"R","F",3713
720,"R","F",3797
730,"R","F",3888
740,"R","F",3812
750,"R","F",3918
760,"R","F",3953
770,"R","F",4025
780,"R","F",3894
790,"R","F",3934
800,"R","F",4017
810,"R","F",4047
820,"R","F",3983
830,"R","F",4081
840,"R","F",4081
850,"R","F",3998
860,"R","F",4011
870,"R","F",4230
880,"R","F",4144
890,"R","F",4067
900,"R","F",4126
910,"R","F",4153
920,"R","F",4218
930,"R","F",4261
940,"R","F",4206
950,"R","F",4156
960,"R","F",4356
970,"R","F",4386
980,"R","F",4246
990,"R","F",4331
1000,"R","F",4277
1010,"R","F",4414
1020,"R","F",4446
1030,"R","F",4469
1040,"R","F",4406
1050,"R","F",4386
1060,"R","F",4488
1070,"R","F",4591
1080,"R","F",4548
1090,"R","F",4631
