"l","l'",Value
"City-of-Edinburgh","Inverclyde","0.00292437"
"Renfrewshire","Inverclyde","0.29157"
"West-Dunbartonshire","Inverclyde","0.10029"
"West-Lothian","Inverclyde","0.00517152"
"Angus","Inverclyde","0.000784268"
"Dundee-City","Inverclyde","0.000538108"
"East-Dunbartonshire","Inverclyde","0.0553736"
"Fife","Inverclyde","0.00257623"
"Perth-and-Kinross","Inverclyde","0.00142631"
"Glasgow-City","Inverclyde","0.0822316"
"North-Lanarkshire","Inverclyde","0.0199786"
"Clackmannanshire","Midlothian","0.0168388"
"Dumfries-and-Galloway","Midlothian","0.00183808"
"East-Ayrshire","Midlothian","0.00272514"
"East-Lothian","Midlothian","0.410243"
"East-Renfrewshire","Midlothian","0.0041039"
"Na-h-Eileanan-Siar","Midlothian","0.000634416"
"Falkirk","Midlothian","0.0399248"
"Highland","Midlothian","0.000934946"
"Inverclyde","Midlothian","0.00176575"
"Midlothian","Midlothian","8.10264"
"Moray","Midlothian","0.000879807"
"North-Ayrshire","Midlothian","0.00176676"
"Orkney-Islands","Midlothian","0.00120698"
"Scottish-Borders","Midlothian","0.139324"
"Shetland-Islands","Midlothian","0.000707837"
"South-Ayrshire","Midlothian","0.00210353"
"South-Lanarkshire","Midlothian","0.0121366"
"Stirling","Midlothian","0.0181719"
"Aberdeen-City","Midlothian","0.00114488"
"Aberdeenshire","Midlothian","0.000815798"
"Argyll-and-Bute","Midlothian","0.00267158"
"City-of-Edinburgh","Midlothian","0.432486"
"Renfrewshire","Midlothian","0.0031017"
"West-Dunbartonshire","Midlothian","0.00273967"
"West-Lothian","Midlothian","0.122703"
"Angus","Midlothian","0.00193958"
"Dundee-City","Midlothian","0.00264937"
"East-Dunbartonshire","Midlothian","0.00655813"
"Fife","Midlothian","0.03512"
"Perth-and-Kinross","Midlothian","0.00977738"
"Glasgow-City","Midlothian","0.00510441"
"North-Lanarkshire","Midlothian","0.0109577"
"Clackmannanshire","Moray","0.000996928"
"Dumfries-and-Galloway","Moray","0.000752454"
"East-Ayrshire","Moray","0.00096386"
"East-Lothian","Moray","0.00155966"
"East-Renfrewshire","Moray","0.000491205"
"Na-h-Eileanan-Siar","Moray","0.00860956"
"Falkirk","Moray","0.00130524"
"Highland","Moray","0.106753"
"Inverclyde","Moray","0.0012918"
"Midlothian","Moray","0.000879807"
"Moray","Moray","9.99263"
"North-Ayrshire","Moray","0.000940075"
"Orkney-Islands","Moray","0.0112146"
"Scottish-Borders","Moray","0.000630126"
"Shetland-Islands","Moray","0.00164646"
"South-Ayrshire","Moray","0.00103274"
"South-Lanarkshire","Moray","0.00085063"
"Stirling","Moray","0.00110182"
"Aberdeen-City","Moray","0.0404659"
